2020-09-02:14:13:42.253,2020-09-02T14:13:42.250Z$Msg-UDP-4$1599066822251$-12.274257$-45.12085$1234,
2020-09-02:14:13:43.262,2020-09-02T14:13:43.260Z$Msg-UDP-5$1599066823260$-12.274257$-45.12085$1234,
2020-09-02:14:13:44.269,2020-09-02T14:13:44.267Z$Msg-UDP-6$1599066824268$-12.274257$-45.12085$1234,
2020-09-02:14:13:45.286,2020-09-02T14:13:45.284Z$Msg-UDP-7$1599066825285$-12.274257$-45.12085$1234,
2020-09-02:14:13:46.296,2020-09-02T14:13:46.294Z$Msg-UDP-8$1599066826294$-12.274257$-45.12085$1234,
2020-09-02:14:13:47.301,2020-09-02T14:13:47.299Z$Msg-UDP-9$1599066827299$-12.274257$-45.12085$1234,
2020-09-02:14:13:48.311,2020-09-02T14:13:48.309Z$Msg-UDP-10$1599066828310$-12.274257$-45.12085$1234,
2020-09-08:16:54:49.239,2020-09-08T16:54:49.193Z$Msg-UDP-1$1599594889229$-12.274257$-45.12085$1234,
2020-09-08:16:54:50.252,2020-09-08T16:54:50.250Z$Msg-UDP-2$1599594890251$-12.274257$-45.12085$1234,
2020-09-08:16:54:51.262,2020-09-08T16:54:51.260Z$Msg-UDP-3$1599594891260$-12.274257$-45.12085$1234,
2020-09-08:16:54:52.279,2020-09-08T16:54:52.278Z$Msg-UDP-4$1599594892278$-12.274257$-45.12085$1234,
2020-09-08:16:54:53.291,2020-09-08T16:54:53.290Z$Msg-UDP-5$1599594893290$-12.274257$-45.12085$1234,
2020-09-08:16:54:54.295,2020-09-08T16:54:54.294Z$Msg-UDP-6$1599594894294$-12.274257$-45.12085$1234,
2020-09-08:16:54:55.313,2020-09-08T16:54:55.312Z$Msg-UDP-7$1599594895312$-12.274257$-45.12085$1234,
2020-09-08:16:54:56.329,2020-09-08T16:54:56.328Z$Msg-UDP-8$1599594896328$-12.274257$-45.12085$1234,
2020-09-08:16:54:57.331,2020-09-08T16:54:57.330Z$Msg-UDP-9$1599594897330$-12.274257$-45.12085$1234,
2020-09-08:16:54:58.335,2020-09-08T16:54:58.333Z$Msg-UDP-10$1599594898333$-12.274257$-45.12085$1234,
2020-09-08:16:56:12.209,2020-09-08T16:56:12.163Z$Msg-UDP-1$1599594972200$-12.274257$-45.12085$1234,
2020-09-08:16:56:13.224,2020-09-08T16:56:13.223Z$Msg-UDP-2$1599594973223$-12.274257$-45.12085$1234,
2020-09-08:16:56:14.232,2020-09-08T16:56:14.230Z$Msg-UDP-3$1599594974231$-12.274257$-45.12085$1234,
2020-09-08:16:56:15.247,2020-09-08T16:56:15.247Z$Msg-UDP-4$1599594975247$-12.274257$-45.12085$1234,
2020-09-08:16:56:16.250,2020-09-08T16:56:16.249Z$Msg-UDP-5$1599594976249$-12.274257$-45.12085$1234,
2020-09-08:16:56:17.255,2020-09-08T16:56:17.254Z$Msg-UDP-6$1599594977254$-12.274257$-45.12085$1234,
2020-09-08:16:56:18.264,2020-09-08T16:56:18.263Z$Msg-UDP-7$1599594978263$-12.274257$-45.12085$1234,
2020-09-08:16:56:19.276,2020-09-08T16:56:19.274Z$Msg-UDP-8$1599594979274$-12.274257$-45.12085$1234,
2020-09-08:16:56:20.281,2020-09-08T16:56:20.279Z$Msg-UDP-9$1599594980280$-12.274257$-45.12085$1234,
